slug,latin_name,common_name,category,family,genus,observations_count
phyllocoptes-eupadi,Phyllocoptes eupadi,Cherry gall mite,arachnid,Eriophyidae,Phyllocoptes,1
phyllonorycter-comparella,Phyllonorycter comparella,Winter poplar midget,insect,Gracillariidae,Phyllonorycter,1
phyllonorycter-lautella,Phyllonorycter lautella,Fiery oak midget,insect,Gracillariidae,Phyllonorycter,1
phyllonorycter-muelleriella,Phyllonorycter muelleriella,Western Midget,insect,Gracillariidae,Phyllonorycter,1
phyllonorycter-platani,Phyllonorycter platani,London midget,insect,Gracillariidae,Phyllonorycter,1
phyllosticta-cruenta,Phyllosticta cruenta,Lily leaf spot fungus,other,,,1
physcia-caesia,Physcia caesia,Blue-gray rosette lichen,lichen,Physciaceae,Physcia,1
physella-acuta,Physella acuta,Acute Bladder Snail,mollusc,Physidae,Physella,1
phytocoris-varipes,Phytocoris varipes,long-legged plant bug,insect,Miridae,Phytocoris,1
phytomyza-aquilegiae,Phytomyza aquilegiae,Columbine leaf miner,insect,Agromyzidae,Phytomyza,1
phytomyza-lappae,Phytomyza lappae,Burdock leaf miner,insect,Agromyzidae,Phytomyza,1
phytomyza-spondylii-pastinacae,Phytomyza spondylii + pastinacae,Hogweed and parsnip leaf miner,other,,,1
phytoptus-abnormis,Phytoptus abnormis,Phytoptus eriophyid mite,arachnid,Phytoptidae,Phytoptus,1
pieris-rapae-napi,Pieris rapae/napi,Small White,insect,Pieridae,Pieris,1
pimpinella-major,Pimpinella major,Greater Burnet-saxifrage,plant,Apiaceae,Pimpinella,1
pimpla-rufipes,Pimpla rufipes,Black Slip Wasp,insect,Ichneumonidae,Pimpla,1
piniphila-bifasciana,Piniphila bifasciana,Pine Marble,insect,Tortricidae,Piniphila,1
pipunculidae-indet,Pipunculidae indet.,Big-headed Flies,insect,Pipunculidae,,1
piratula-latitans,Piratula latitans,Pirate wolf spider,arachnid,Lycosidae,Piratula,1
pithanus-maerkelii,Pithanus maerkelii,Pithanus plant bug,insect,Miridae,Pithanus,1
plagiosterna-aenea,Plagiosterna aenea,Metallic leaf beetle,insect,Chrysomelidae,Plagiosterna,1
plantago-coronopus,Plantago coronopus,Buck's-horn Plantain,plant,Plantaginaceae,Plantago,1
platanus-x-hispanica-p-occidentalis-x-p-orientalis,Platanus x hispanica (P. occidentalis x P. orientalis),London Plane,plant,Platanaceae,Platanus,1
platyptilia-gonodactyla,Platyptilia gonodactyla,Triangle Plume Moth,insect,Pterophoridae,Platyptilia,1
plectosphaerella-alismatis,Plectosphaerella alismatis,Water-plantain wilt fungus,fungus,Plectosphaerellaceae,Plectosphaerella,1
